arm,seed,bearing_id,split,scope,target_start_step,target_count,gru_mse,persistence_mse,mse_ratio,skill,gru_rmse,persistence_rmse,gru_win_fraction,gru_median_step_mse,persistence_median_step_mse
ranking,20260917,Bearing1_2,train,full_sequence_diagnostic,1,160,0.020175170237378838,0.008695448909705241,2.3201988128365345,-1.3201988128365345,0.14203932637610908,0.09324939093476826,0.0875,0.009327610197942704,0.00017575316547735476
ranking,20260917,Bearing1_3,train,primary,25,133,0.012689571475633469,0.002705652369428734,4.690022864361071,-3.6900228643610706,0.11264799809865006,0.05201588574107658,0.12781954887218044,0.007997663211426698,0.0006128351124061737
ranking,20260917,Bearing1_3,train,full_sequence_diagnostic,1,157,0.013257670905208695,0.0024834080616558357,5.338498779120906,-4.338498779120906,0.11514195979402424,0.04983380440680639,0.12738853503184713,0.008070433640568808,0.0006128351124061737
ranking,20260917,Bearing1_4,validation,primary,25,97,0.059410291827684175,0.03877501019310031,1.5321799151520465,-0.5321799151520465,0.24374226516483385,0.19691371255730342,0.09278350515463918,0.007773064076900482,0.0009561158694850747
ranking,20260917,Bearing1_4,validation,full_sequence_diagnostic,1,121,0.05557122600020433,0.03128171097419343,1.7764765503411593,-0.7764765503411593,0.23573550008474398,0.176866364733924,0.0743801652892562,0.012488555508753052,0.0009025831204780843
ranking,20260917,Bearing1_5,holdout_test,primary,25,27,0.041740224452013246,0.008694134638168339,4.800963659887258,-3.800963659887258,0.20430424482132828,0.09324234359006824,0.07407407407407407,0.032307096873410046,0.0004942103014400345
ranking,20260917,Bearing1_5,holdout_test,full_sequence_diagnostic,1,51,0.03308989656387473,0.005012204918733123,6.6018642693959295,-5.6018642693959295,0.18190628511372203,0.07079692732550702,0.0392156862745098,0.02501711738295853,0.00031926027895679
ranking,20260918,Bearing1_1,train,primary,25,98,0.025509424374617184,0.00833786647107714,3.059466646906101,-2.059466646906101,0.15971670036228894,0.09131191855983062,0.17346938775510204,0.024697703517972514,0.0006810361910538631
ranking,20260918,Bearing1_1,train,full_sequence_diagnostic,1,122,0.025989020749906225,0.00788148678085409,3.297476919334487,-2.297476919334487,0.16121110616178472,0.08877773809268903,0.18032786885245902,0.018193175754277036,0.0011544518965820316
ranking,20260918,Bearing1_2,train,primary,25,136,0.020336341868539193,0.009941434409771757,2.045614448610147,-1.0456144486101469,0.142605546415766,0.09970674204772592,0.10294117647058823,0.010231671949441079,7.018252643220535e-05
ranking,20260918,Bearing1_2,train,full_sequence_diagnostic,1,160,0.021536246398239655,0.008695448909705241,2.476726230224,-1.476726230224,0.14675233012882505,0.09324939093476826,0.0875,0.011909538772670203,0.00017575316547735476
ranking,20260918,Bearing1_3,train,primary,25,133,0.01104495053530953,0.002705652369428734,4.08217650578723,-3.0821765057872303,0.1050949596094386,0.05201588574107658,0.09022556390977443,0.007260636310093105,0.0006128351124061737
ranking,20260918,Bearing1_3,train,full_sequence_diagnostic,1,157,0.012340785280491137,0.0024834080616558357,4.969294201397898,-3.969294201397898,0.11108908713501582,0.04983380440680639,0.07643312101910828,0.00812647833754454,0.0006128351124061737
ranking,20260918,Bearing1_4,validation,primary,25,97,0.05801715445877799,0.03877501019310031,1.4962511723362915,-0.49625117233629146,0.24086750394932477,0.19691371255730342,0.05154639175257732,0.007356487596553052,0.0009561158694850747
ranking,20260918,Bearing1_4,validation,full_sequence_diagnostic,1,121,0.05462724252883135,0.03128171097419343,1.7462997012502723,-0.7462997012502723,0.23372471527168742,0.176866364733924,0.04132231404958678,0.011987583737209206,0.0009025831204780843
ranking,20260918,Bearing1_5,holdout_test,primary,25,27,0.03702959360535058,0.008694134638168339,4.25914655643657,-3.25914655643657,0.1924307501553496,0.09324234359006824,0.07407407407407407,0.032372460580518236,0.0004942103014400345
ranking,20260918,Bearing1_5,holdout_test,full_sequence_diagnostic,1,51,0.03165063146724044,0.005012204918733123,6.314712183643203,-5.314712183643203,0.17790624347459097,0.07079692732550702,0.0392156862745098,0.025692018685276707,0.00031926027895679
