arm,seed,test_bearing,epoch,grl_coefficient,health_mse,domain_cross_entropy
source_only,20260918,Bearing3_3,6,0.0,0.031576297009984655,0.5178567790985107
source_only,20260918,Bearing3_3,7,0.0,0.02592827262977759,0.4755832370122274
source_only,20260918,Bearing3_3,8,0.0,0.020838032414515813,0.43636189341545106
source_only,20260918,Bearing3_3,9,0.0,0.016338219170769056,0.39543845534324645
source_only,20260918,Bearing3_3,10,0.0,0.012386848703026771,0.3536617310841878
source_only,20260918,Bearing3_3,11,0.0,0.009436511062085628,0.30947261373202006
source_only,20260918,Bearing3_3,12,0.0,0.007118817213922739,0.2683462085326513
source_only,20260918,Bearing3_3,13,0.0,0.0057391258142888545,0.2282320600748062
source_only,20260918,Bearing3_3,14,0.0,0.004707473156352838,0.19291944026947022
source_only,20260918,Bearing3_3,15,0.0,0.00395368109146754,0.1630572658777237
source_only,20260918,Bearing3_3,16,0.0,0.003504840172827244,0.13714330891768137
source_only,20260918,Bearing3_3,17,0.0,0.0030855274635056655,0.11727530807256699
source_only,20260918,Bearing3_3,18,0.0,0.00273120801585416,0.0986299212773641
source_only,20260918,Bearing3_3,19,0.0,0.002449049859618147,0.08351847449938456
source_only,20260918,Bearing3_3,20,0.0,0.0021912627418835956,0.07167698815464973
source_only,20260918,Bearing3_3,21,0.0,0.0019751857873052357,0.06251735339562098
source_only,20260918,Bearing3_3,22,0.0,0.0017623880653021237,0.05512837720414003
source_only,20260918,Bearing3_3,23,0.0,0.001609268356114626,0.04873218576113383
source_only,20260918,Bearing3_3,24,0.0,0.0014385771891102196,0.04344280660152435
source_only,20260918,Bearing3_3,25,0.0,0.0013399854100619754,0.038821484645207724
source_only,20260918,Bearing3_3,26,0.0,0.001236560184819003,0.034708050911625224
source_only,20260918,Bearing3_3,27,0.0,0.0011244550370611251,0.031652804911136624
source_only,20260918,Bearing3_3,28,0.0,0.0010210608559039732,0.029048235317071278
source_only,20260918,Bearing3_3,29,0.0,0.0009559431291806201,0.026873489692807197
source_only,20260918,Bearing3_3,30,0.0,0.0009047682808401684,0.024997028410434722
source_dann,20260918,Bearing3_3,1,0.0,0.36677669405937197,0.6878982456525167
source_dann,20260918,Bearing3_3,2,0.017072534188628197,0.14957671910524367,0.6616614858309428
source_dann,20260918,Bearing3_3,3,0.033178042620420456,0.08278983602921168,0.6221862355868022
source_dann,20260918,Bearing3_3,4,0.0475568063557148,0.056695328255494434,0.5829769166310629
source_dann,20260918,Bearing3_3,5,0.05977604538202286,0.03886573145786921,0.55899356285731
source_dann,20260918,Bearing3_3,6,0.06973221153020859,0.031713751355806986,0.5371229795614878
source_dann,20260918,Bearing3_3,7,0.07756999880075455,0.025430219223101933,0.5156824700037639
