arm,seed,bearing_id,split,target_start_step,target_count,feature_count,persistence_mse,raw_mse,raw_mse_ratio,raw_skill,bias_mse,bias_fraction_of_raw_mse,oracle_bias_corrected_mse,oracle_bias_corrected_mse_ratio,oracle_bias_corrected_skill,true_increment_rms,predicted_increment_rms,magnitude_ratio,flattened_cosine,through_origin_gain,positive_dot_fraction,valid_step_cosine_count,mean_step_cosine,median_step_cosine,error_bias_z_0,error_bias_z_1,error_bias_z_2,error_bias_z_3,error_bias_z_4,error_bias_z_5,error_bias_z_6,error_bias_z_7,bias_dominant_flag,magnitude_mismatch_flag,poor_direction_flag
ranking,20260917,Bearing1_1,train,25,98,8,0.008337866485201056,0.02496034869799331,2.9936133832672454,-1.9936133832672454,0.00046951154614098984,0.018810295954668946,0.02449083715185232,2.937302629554131,-1.937302629554131,0.09131191863716946,0.1398282685248553,1.5313254897256836,0.1147190373874394,0.17567218610817964,0.5816326530612245,98,0.12168923424455465,0.23302190063475756,0.027580558227337137,0.018379871068256243,-0.03309550189546177,0.00021245296360278615,0.025240216176120604,0.007382108810908941,-0.015989121657853225,0.024799437091058613,False,True,False
ranking,20260917,Bearing1_2,train,25,136,8,0.009941434442664293,0.019210024702970955,1.932319205418679,-0.9323192054186791,0.004459780972390689,0.2321590441110133,0.01475024373058027,1.483713825771326,-0.48371382577132604,0.09970674221267233,0.1130325473900147,1.1336499907791462,0.15562259032542047,0.1764215480874398,0.4338235294117647,136,-0.04196276077828921,-0.2228239659565098,-0.0202036181683926,-0.07200066553538337,0.06284204894430279,0.06820305732681471,-0.09666603162665577,-0.07409717002883554,0.038663900786024684,-0.07180234055747003,False,False,True
ranking,20260917,Bearing1_3,train,25,133,8,0.0027056523627826783,0.012689571453013833,4.690022867521313,-3.6900228675213134,0.0005292173114480935,0.04170490023304939,0.012160354141565737,4.494425931740616,-3.494425931740616,0.05201588567719172,0.11449076058240874,2.201072981683583,0.26230375203027684,0.5773497015880725,0.48120300751879697,133,0.02184918344545474,-0.08288313350274924,0.04011442004597949,-0.012828384154945388,-0.006057463474291608,-0.018676729592725747,0.03891661872429059,0.02060189780155967,-0.008050081257085154,0.008411067096810592,False,True,True
ranking,20260917,Bearing1_4,validation,25,97,8,0.038775010512683894,0.0594102906633005,1.5321798724945928,-0.5321798724945928,0.0012697055154486598,0.021371811200933823,0.058140585147851837,1.4994344135337674,-0.4994344135337674,0.1969137133687847,0.13259146745849612,0.6733480629161447,-0.05850039749166044,-0.03939112933083405,0.5773195876288659,97,0.11656738760012361,0.24824275733610218,0.03093790147722382,-0.01615899432565748,-0.0005136298150131383,0.03319078530232931,0.02486975229892534,-0.07343059901109676,-0.007613355658717991,0.042059060839033616,False,True,True
ranking,20260917,Bearing1_5,holdout_test,25,27,8,0.008694134652509145,0.041740224267257424,4.800963630717534,-3.8009636307175336,0.0028719889793466648,0.06880626613210507,0.03886823528791077,4.470627249451827,-3.4706272494518267,0.09324234366696896,0.16633690091208497,1.7839202058904244,-0.17338004460368664,-0.3092961648666997,0.6296296296296297,27,0.0803248259910017,0.39465112255277013,-0.010941818080566547,-0.0471082478761673,-0.021243790509524168,-0.04075846131201143,0.07269557275705868,0.11435372134049733,0.007719940057507268,-0.010170214981944472,False,True,True
ranking,20260918,Bearing1_1,train,25,98,8,0.008337866485201056,0.025509424335233292,3.0594666370000247,-2.0594666370000247,0.0017016896431961803,0.06670827302228959,0.02380773469203711,2.855374901276441,-1.855374901276441,0.09131191863716946,0.14174591887434307,1.5523265855093304,0.11281491741124558,0.17512559553951598,0.5612244897959183,98,0.10919945758401997,0.2375284822151372,0.010535414995891708,0.03684043310278533,-0.06965845914519563,-0.00021318745400224413,0.05122483892328277,0.05916773440430359,-0.03413503426982432,0.0017183724866837871,False,True,False
ranking,20260918,Bearing1_2,train,25,136,8,0.009941434442664293,0.0203363419539933,2.045614450437716,-1.045614450437716,0.004944123436866055,0.2431176387597679,0.015392218517127243,1.5482894954344382,-0.5482894954344382,0.09970674221267233,0.11592674451639262,1.1626770862608606,0.13168039522610359,0.15310177823916465,0.4411764705882353,136,-0.045945850338357616,-0.17883836314358986,-0.11857516784220934,-0.028960562530247605,0.09054420187192805,0.06165621856994489,-0.026795121313839713,-0.0833727846689084,0.057313365259153,-0.04123881079859155,False,False,True
ranking,20260918,Bearing1_3,train,25,133,8,0.0027056523627826783,0.011044950528937036,4.082176513459272,-3.082176513459272,0.0003847563015636102,0.034835493428021634,0.010660194227373427,3.9399718803526382,-2.9399718803526382,0.05201588567719172,0.10539465147252487,2.0262012287284583,0.25252055208840807,0.5116574529207212,0.47368421052631576,133,0.005049734944447858,-0.11125962348804855,0.03326902686289154,-4.76162404494178e-05,-0.0017617987959008467,-0.018109176125853582,0.03292814619783172,0.019205026762714062,-0.0027786338127645336,-0.0133924281217606,False,True,True
ranking,20260918,Bearing1_4,validation,25,97,8,0.038775010512683894,0.05801715419087036,1.4962511530949056,-0.49625115309490564,0.0013797972946763132,0.023782574549191512,0.05663735689619404,1.4606664485021121,-0.46066644850211214,0.1969137133687847,0.13044410026949815,0.6624429453788184,-0.04333995675650625,-0.02871024860637062,0.5979381443298969,97,0.12519485101528666,0.2857062977272638,0.08218252535947819,-0.008057804759015743,0.015082349943131516,0.01949563069441884,0.015517262146644985,-0.05625693162077481,0.005598358886758077,0.013227107291369094,False,True,True
ranking,20260918,Bearing1_5,holdout_test,25,27,8,0.008694134652509145,0.037029593348483755,4.259146519866349,-3.2591465198663494,0.0027384836901361708,0.07395392286284189,0.034291109658347585,3.9441659266746116,-2.9441659266746116,0.09324234366696896,0.16394451849296204,1.7582625237147411,-0.04767758378094724,-0.0838297087833093,0.6666666666666666,27,0.2029287518080293,0.445237709683841,0.010751099498183639,-0.0047265953487820095,-0.05364987888821849,-0.0529885576279075,0.04637873503896925,0.10967920748171983,-0.033882008520541365,-0.027483446178612887,False,True,True
