seed,bearing_id,split,readout,score_samples,spearman_rho,first_last_delta,mean_absolute_step,step_std,backward_step_fraction,collapsed
20260917,Bearing1_1,train,hidden_distance,98,0.9524638346435105,3.80427605509758,0.042223766968422324,0.06543097713646419,0.14432989690721648,False
20260917,Bearing1_1,train,predicted_z_distance,98,0.9524638346435105,5.418296179175377,0.059865764336487666,0.09251847673016211,0.14432989690721648,False
20260917,Bearing1_1,train,prediction_residual,98,0.8277324050519926,0.2624018043279648,0.014994525294942952,0.021237638911905787,0.41237113402061853,False
20260917,Bearing1_2,train,hidden_distance,136,0.9996183388197127,4.486432927101851,0.03352666669421726,0.060011737485343636,0.05185185185185185,False
20260917,Bearing1_2,train,predicted_z_distance,136,0.9994084251705548,6.31994027197361,0.04722242453308017,0.08431160947679504,0.05185185185185185,False
20260917,Bearing1_2,train,prediction_residual,136,-0.43219789132197883,-0.07336385846138,0.015571856057202372,0.027963154840634812,0.37037037037037035,False
20260917,Bearing1_3,train,hidden_distance,133,0.9645535140429091,4.463811118900776,0.03471873807297511,0.03221740568204183,0.13636363636363635,False
20260917,Bearing1_3,train,predicted_z_distance,133,0.9616153681353995,6.27982278186828,0.04879486199863481,0.04568393108347726,0.13636363636363635,False
20260917,Bearing1_3,train,prediction_residual,133,0.3607849338407076,0.17935711666941642,0.016039809748304604,0.02152966681978958,0.4393939393939394,False
20260917,Bearing1_4,validation,hidden_distance,97,0.756377551020408,0.820667578279972,0.018046615055451787,0.030926256556872752,0.4375,False
20260917,Bearing1_4,validation,predicted_z_distance,97,0.7297890805806857,0.9720150753855705,0.02307751071639359,0.04013952685253378,0.4479166666666667,False
20260917,Bearing1_4,validation,prediction_residual,97,-0.42051073006522194,0.11408391147851937,0.0225382836535573,0.05884951808060147,0.5520833333333334,False
20260917,Bearing1_5,holdout_test,hidden_distance,27,0.9255189255189256,3.087347729504108,0.12036195565015079,0.1071708249191698,0.19230769230769232,False
20260917,Bearing1_5,holdout_test,predicted_z_distance,27,0.8998778998778999,4.143236916512251,0.16174131418363405,0.15197276430827267,0.19230769230769232,False
20260917,Bearing1_5,holdout_test,prediction_residual,27,0.6807081807081806,0.1422503337264061,0.019859604193614083,0.024969864648824985,0.4230769230769231,False
20260918,Bearing1_1,train,hidden_distance,98,0.9514564963754948,3.4748606979846954,0.03883757904632805,0.061387622937494314,0.14432989690721648,False
20260918,Bearing1_1,train,predicted_z_distance,98,0.9504874114594289,5.3163989961147315,0.05910922073826347,0.09554603363434563,0.14432989690721648,False
20260918,Bearing1_1,train,prediction_residual,98,0.8371044762797339,0.31018795520067216,0.013871929003405817,0.020141003367279052,0.44329896907216493,False
20260918,Bearing1_2,train,hidden_distance,136,0.9995324650541481,4.285177302360535,0.031947393306979426,0.05600656288717344,0.05925925925925926,False
20260918,Bearing1_2,train,predicted_z_distance,136,0.9992700729927005,6.317124980688095,0.04720425566037496,0.08447246284338805,0.07407407407407407,False
20260918,Bearing1_2,train,prediction_residual,136,-0.40074423930156,-0.05500088930130009,0.01495916508966022,0.026286940262351427,0.35555555555555557,False
20260918,Bearing1_3,train,hidden_distance,133,0.9610032544046684,4.217978873103857,0.03325349059181682,0.03007587846451394,0.17424242424242425,False
20260918,Bearing1_3,train,predicted_z_distance,133,0.9598096326297426,6.265833300724625,0.04897108536608743,0.04601630811424747,0.15151515151515152,False
20260918,Bearing1_3,train,prediction_residual,133,0.12315218167535527,0.14226610362529754,0.01270375396266128,0.017845804704678246,0.4621212121212121,False
20260918,Bearing1_4,validation,hidden_distance,97,0.8539475068377865,0.9571753308176993,0.01811591352646549,0.030215071135611924,0.40625,False
20260918,Bearing1_4,validation,predicted_z_distance,97,0.8239927414264674,1.0465835601091387,0.022634020665039615,0.0384048951737342,0.4270833333333333,False
20260918,Bearing1_4,validation,prediction_residual,97,-0.4695192509993688,0.08134083896875377,0.02082984709801773,0.05785767597915543,0.5729166666666666,False
20260918,Bearing1_5,holdout_test,hidden_distance,27,0.9853479853479853,2.916970086097717,0.11245063348458363,0.09690157765025745,0.11538461538461539,False
20260918,Bearing1_5,holdout_test,predicted_z_distance,27,0.9273504273504273,4.184249497950077,0.16242493992814652,0.14954334122446125,0.15384615384615385,False
