bearing_id,feature,time_block,steps,within_block_spearman,mean_early_scaled_value,median_early_scaled_value
Bearing3_1,v_bpfo_band_power,3,507,0.3581536310580632,-1.2767969369888306,-1.2791815996170044
Bearing3_1,v_bpfo_band_power,4,508,0.4517107935646917,0.11422194540500641,-0.9953070878982544
Bearing3_1,v_bpfi_band_power,0,508,0.05437035289039016,0.9943861961364746,1.0636601448059082
Bearing3_1,v_bpfi_band_power,1,507,0.5782692671403071,1.8321521282196045,1.9442033767700195
Bearing3_1,v_bpfi_band_power,2,508,-0.0465699320629178,1.80255925655365,1.8475894927978516
Bearing3_1,v_bpfi_band_power,3,507,0.026847747359690057,2.0491890907287598,2.0294721126556396
Bearing3_1,v_bpfi_band_power,4,508,0.6754762410607116,2.45084810256958,2.283290386199951
Bearing3_2,h_rms,0,499,-0.024916918173696786,0.4212587773799896,0.4411740303039551
Bearing3_2,h_rms,1,499,0.04128063355626916,0.25819626450538635,0.313770055770874
Bearing3_2,h_rms,2,499,0.5827043967452977,1.1201990842819214,1.1777502298355103
Bearing3_2,h_rms,3,499,0.7891426225945867,1.8107471466064453,1.8555394411087036
Bearing3_2,h_rms,4,500,0.5259063276253105,2.6203713417053223,2.497549295425415
Bearing3_2,h_kurtosis,0,499,-0.11807798729990099,-0.2802064120769501,-0.462959349155426
Bearing3_2,h_kurtosis,1,499,-0.34940753796750124,-0.32149291038513184,-0.5126242637634277
Bearing3_2,h_kurtosis,2,499,-0.5090236376367191,-1.230828881263733,-1.2674860954284668
Bearing3_2,h_kurtosis,3,499,-0.22688190839510342,-1.3217685222625732,-1.329679012298584
Bearing3_2,h_kurtosis,4,500,0.07738869355477422,-1.1474928855895996,-1.3232322931289673
Bearing3_2,v_rms,0,499,-0.5379511794673684,-0.4894684851169586,-0.7603046298027039
Bearing3_2,v_rms,1,499,-0.01943231040394041,-0.9269040822982788,-1.0653040409088135
Bearing3_2,v_rms,2,499,0.4609611512180988,-0.7391793131828308,-0.9518288373947144
Bearing3_2,v_rms,3,499,0.7923786850810053,0.932344377040863,1.119670033454895
Bearing3_2,v_rms,4,500,0.277499573998296,2.199639081954956,2.277547836303711
Bearing3_2,v_kurtosis,0,499,-0.49738001303812446,-0.9614872932434082,-1.1640942096710205
Bearing3_2,v_kurtosis,1,499,-0.004607286862882391,-1.2738711833953857,-1.371297836303711
Bearing3_2,v_kurtosis,2,499,-0.6784513605524302,-2.00805401802063,-2.0719101428985596
Bearing3_2,v_kurtosis,3,499,-0.7429033488664074,-2.336597442626953,-2.3608460426330566
Bearing3_2,v_kurtosis,4,500,-0.23384032736130944,-2.430112838745117,-2.450702428817749
Bearing3_2,h_bpfo_band_power,0,499,0.3536294758191081,0.6671684384346008,1.333895206451416
Bearing3_2,h_bpfo_band_power,1,499,0.7011984450829368,1.6427034139633179,1.727485179901123
Bearing3_2,h_bpfo_band_power,2,499,-0.7071777289518795,2.4397788047790527,2.4254775047302246
Bearing3_2,h_bpfo_band_power,3,499,-0.11044305478426732,2.6743204593658447,2.6722025871276855
Bearing3_2,h_bpfo_band_power,4,500,0.25666067464269854,2.6846585273742676,2.6413888931274414
Bearing3_2,h_bpfi_band_power,0,499,0.31940372310886833,0.8630750179290771,0.957521915435791
Bearing3_2,h_bpfi_band_power,1,499,-0.017193229833160295,1.0321391820907593,1.061989665031433
Bearing3_2,h_bpfi_band_power,2,499,-0.05156346427795348,0.7638422250747681,0.8935368061065674
Bearing3_2,h_bpfi_band_power,3,499,0.23109679600164185,0.7126070857048035,0.8955355882644653
Bearing3_2,h_bpfi_band_power,4,500,0.24034204936819742,1.0637496709823608,1.2212066650390625
Bearing3_2,v_bpfo_band_power,0,499,0.33019204674409053,-1.4896670579910278,-1.5188313722610474
Bearing3_2,v_bpfo_band_power,1,499,0.7666079814232799,0.5828894376754761,0.5334910154342651
Bearing3_2,v_bpfo_band_power,2,499,-0.1865171834395824,3.2236557006835938,3.243865489959717
Bearing3_2,v_bpfo_band_power,3,499,-0.4355646232223483,2.6491596698760986,2.6512904167175293
Bearing3_2,v_bpfo_band_power,4,500,-0.7180160560642243,1.2609515190124512,2.2677736282348633
Bearing3_2,v_bpfi_band_power,0,499,0.31761180191708716,1.6637251377105713,1.7614593505859375
Bearing3_2,v_bpfi_band_power,1,499,-0.3368355989086607,1.821649432182312,1.88914155960083
Bearing3_2,v_bpfi_band_power,2,499,0.14614066687592048,1.1803452968597412,1.209791898727417
Bearing3_2,v_bpfi_band_power,3,499,0.17352304609218436,1.3542964458465576,1.3644754886627197
Bearing3_2,v_bpfi_band_power,4,500,-0.024237600950403802,1.3322950601577759,1.4063626527786255
Bearing3_3,h_rms,0,74,-0.30582747130692334,0.3198622763156891,0.4124763011932373
