bearing_id,feature,steps,full_spearman
Bearing3_3,h_peak,371,-0.35089733677682555
Bearing3_3,h_peak_to_peak,371,-0.3915450590398174
Bearing3_3,h_crest_factor,371,0.18638637768278668
Bearing3_3,h_shape_factor,371,0.20679274777388912
Bearing3_3,h_impulse_factor,371,0.18970900297741441
Bearing3_3,h_clearance_factor,371,0.19042221945447754
Bearing3_3,h_kurtosis,371,0.17226304645659485
Bearing3_3,h_skewness,371,0.07779300037364555
Bearing3_3,h_line_integral,371,-0.5385475293570242
Bearing3_3,h_zero_crossing_rate,371,-0.7738608141893937
Bearing3_3,h_entropy,371,-0.1814801063127296
Bearing3_3,h_percentile_5,371,0.5015773306185682
Bearing3_3,h_percentile_50,371,0.04700393367929449
Bearing3_3,h_percentile_95,371,-0.5055590935688319
Bearing3_3,v_mean,371,-0.034252015688412525
Bearing3_3,v_std,371,-0.5134002448670738
Bearing3_3,v_variance,371,-0.5134002448670738
Bearing3_3,v_rms,371,-0.5109205544993738
Bearing3_3,v_peak,371,-0.3500498399698411
Bearing3_3,v_peak_to_peak,371,-0.40542491017232346
Bearing3_3,v_crest_factor,371,0.17330502400496317
Bearing3_3,v_shape_factor,371,0.08775348415689932
Bearing3_3,v_impulse_factor,371,0.17968778273099636
Bearing3_3,v_clearance_factor,371,0.1798945802597659
Bearing3_3,v_kurtosis,371,0.06680100672796961
Bearing3_3,v_skewness,371,0.27474931674566494
Bearing3_3,v_line_integral,371,-0.5339869388560807
Bearing3_3,v_zero_crossing_rate,371,-0.9070581052674526
Bearing3_3,v_entropy,371,-0.1573628145143666
Bearing3_3,v_percentile_5,371,0.4429687665232401
Bearing3_3,v_percentile_50,371,0.0025438447505061147
Bearing3_3,v_percentile_95,371,-0.4544749340245385
Bearing3_3,cross_correlation,371,0.6488427563290619
Bearing3_3,h_spectral_centroid,371,-0.7984560684499821
Bearing3_3,h_spectral_bandwidth,371,0.5828017305193204
Bearing3_3,h_spectral_rolloff,371,0.39105974781928377
Bearing3_3,h_spectral_flatness,371,0.37959660382058436
Bearing3_3,h_band_power_0_1k,371,-0.3513678011547762
Bearing3_3,h_band_power_1_3k,371,-0.09911288560101708
Bearing3_3,h_band_power_3_6k,371,-0.5220949059658737
Bearing3_3,h_band_power_6_12k,371,-0.5326866993939423
Bearing3_3,h_dominant_frequency,371,-0.06361771911981293
Bearing3_3,h_mean_frequency,371,-0.7985446623912845
Bearing3_3,h_bpfo_band_power,371,-0.04581411252135537
Bearing3_3,h_bpfi_band_power,371,0.46979675092882645
Bearing3_3,h_bsf_band_power,371,0.13853648448901035
Bearing3_3,h_ftf_band_power,371,-0.23605890909603633
Bearing3_3,v_spectral_centroid,371,-0.7961018665826944
Bearing3_3,v_spectral_bandwidth,371,0.9416907896193996
Bearing3_3,v_spectral_rolloff,371,-0.4627636247616575
Bearing3_3,v_spectral_flatness,371,-0.1552609996310544
Bearing3_3,v_band_power_0_1k,371,0.011918587572878505
Bearing3_3,v_band_power_1_3k,371,-0.22382495529178426
Bearing3_3,v_band_power_3_6k,371,-0.524486472386655
Bearing3_3,v_band_power_6_12k,371,-0.5297381896286341
Bearing3_3,v_dominant_frequency,371,-0.21565922983848237
Bearing3_3,v_mean_frequency,371,-0.9109647339714291
Bearing3_3,v_bpfo_band_power,371,-0.09906189121040004
Bearing3_3,v_bpfi_band_power,371,0.05621626321565458
Bearing3_3,v_bsf_band_power,371,0.48607359642052284
Bearing3_3,v_ftf_band_power,371,-0.030237558661174
