arm,seed,bearing_id,diagnostic,score_samples,spearman_rho,first_last_delta,mean_absolute_step,step_std,backward_step_fraction,collapsed,dynamic_range,range_normalized_step_std,range_fraction_of_real,range_flag
control,20260917,Bearing1_2,shuffled_after_calibration,136,0.48440437002051423,0.8935114972293374,0.1109357305864493,0.13652996707731274,0.43703703703703706,False,2.434394371509552,0.05608375071646727,0.5404133254338067,False
control,20260917,Bearing1_3,constant_after_calibration,133,0.5492101539367005,0.00010511688888072829,7.963400672782446e-07,7.087614475415331e-06,0.0,False,0.00010511688888072829,0.06742602973588145,2.3318034382180584e-05,False
control,20260917,Bearing1_3,shuffled_after_calibration,133,0.01711367972169229,1.0387948088347911,0.10111204592059508,0.12488975324510043,0.44696969696969696,False,1.6852860756218433,0.07410596637073509,0.37384628743864,False
control,20260917,Bearing1_4,constant_after_calibration,97,-0.5378580071483817,-0.00047925189137458524,4.992300334076e-06,3.912828857370049e-05,0.125,False,0.0004792544990777914,0.0816440714672337,0.0004137455245850922,False
control,20260917,Bearing1_4,shuffled_after_calibration,97,-0.29971859877971807,-0.02149284183979039,0.03525352295643339,0.048105671116025234,0.5625,False,0.531376626715064,0.09053027306340398,0.4587431137225373,False
control,20260917,Bearing1_5,constant_after_calibration,27,-0.9658389787355512,-0.000287646055221559,1.1063309816213809e-05,4.337514285167404e-05,0.5769230769230769,False,0.000287646055221559,0.15079345627828755,9.272113513385733e-05,False
control,20260917,Bearing1_5,shuffled_after_calibration,27,-0.21733821733821732,-0.23930647000670424,0.06823328962692846,0.08968810806574826,0.5,False,0.6891351241618395,0.13014589580647395,0.2221389440702762,False
ranking,20260917,Bearing1_1,constant_after_calibration,98,0.6265071977239596,0.0014236457645893097,1.4676760459683605e-05,0.00011677832892389249,0.0,False,0.0014236457645893097,0.08202765872561034,0.0003740209957836995,False
ranking,20260917,Bearing1_1,shuffled_after_calibration,98,0.7890965195825282,1.14956693649292,0.0831662707722064,0.10488936860563912,0.4639175257731959,False,1.6771036863327025,0.06254197010025012,0.44060959994189614,False
ranking,20260917,Bearing1_2,constant_after_calibration,136,0.43260034543025766,9.794197976589758e-05,7.255071843111957e-07,6.773114405492369e-06,0.0,False,9.79427248239545e-05,0.0691538286040805,2.174091182722063e-05,False
ranking,20260917,Bearing1_2,shuffled_after_calibration,136,0.4861361576260675,0.8773893058300017,0.10881166888607875,0.1341824402376072,0.43703703703703706,False,2.374332122504711,0.05651376189783279,0.527044202789909,False
ranking,20260917,Bearing1_3,constant_after_calibration,133,0.3917899430838448,0.00010164119303226332,7.700429043986265e-07,6.908625286818147e-06,0.007575757575757576,False,0.00010164119303226332,0.06797072211288573,2.2596897989474926e-05,False
ranking,20260917,Bearing1_3,shuffled_after_calibration,133,0.02185246018710276,1.05631139986217,0.10175319552195794,0.12559006535764894,0.44696969696969696,False,1.686468770354986,0.07446925052232861,0.37493620085756124,False
ranking,20260917,Bearing1_4,constant_after_calibration,97,-0.6780964929687826,-0.0004681102931499495,4.876148886978641e-06,3.843176588959251e-05,0.15625,False,0.0004681102931499495,0.08209980949357523,0.0004044683299927055,False
ranking,20260917,Bearing1_4,shuffled_after_calibration,97,-0.2973648222175468,-0.02139316126704216,0.03535065945858757,0.04830554781737846,0.5520833333333334,False,0.5314137533307075,0.09090007082921153,0.4591653644240102,False
ranking,20260917,Bearing1_5,constant_after_calibration,27,-0.9428090415820634,-0.0002776168286800357,1.0677570333847527e-05,4.233312752080744e-05,0.5,False,0.0002776168286800357,0.15248761295230426,8.969570941513582e-05,False
ranking,20260917,Bearing1_5,shuffled_after_calibration,27,-0.21733821733821732,-0.2502673968672753,0.06854496887670113,0.08992911498526285,0.5,False,0.6995334062725305,0.12855585477247025,0.22601347848230516,False
control,20260918,Bearing1_1,constant_after_calibration,98,0.5514394306208115,0.0035357140004634857,3.64507058846583e-05,0.0002561272743264886,0.010309278350515464,False,0.0035357162356376703,0.07243999723306295,0.001017513086981665,False
control,20260918,Bearing1_1,shuffled_after_calibration,98,0.7665270419320492,1.065522599220276,0.09055708253506532,0.11539571608661053,0.44329896907216493,False,1.6616339921951293,0.0694471325385954,0.47818722435659716,False
control,20260918,Bearing1_2,constant_after_calibration,136,0.5745339096179546,0.00025764703750610907,1.9084965741193263e-06,1.4305234270718714e-05,0.0,False,0.00025764703750610907,0.05552260336150584,5.9932547606418776e-05,False
control,20260918,Bearing1_2,shuffled_after_calibration,136,0.5084299413195934,0.6812799662351607,0.10066091354246494,0.12435931521732364,0.43703703703703706,False,1.943287491798401,0.0639942961307471,0.4520376839667884,False
control,20260918,Bearing1_3,constant_after_calibration,133,0.8891685428993918,0.0002830997109413147,2.1447399348924074e-06,1.6523243042466372e-05,0.007575757575757576,False,0.0002831004559993716,0.058365299992674854,6.614715817874395e-05,False
control,20260918,Bearing1_3,shuffled_after_calibration,133,0.017455443221350526,1.133189033716917,0.10831506060944363,0.13374906186230798,0.45454545454545453,False,1.5752639204263688,0.08490581173604661,0.36806451388387246,False
control,20260918,Bearing1_4,constant_after_calibration,97,-0.5069850958691016,-0.0007685795426368713,8.006223166982218e-06,5.5708908460179935e-05,0.14583333333333334,False,0.0007685884833335821,0.07248210149930286,0.0006464706250062241,False
control,20260918,Bearing1_4,shuffled_after_calibration,97,-0.3051493793393646,-0.02584060505032537,0.03916667278390377,0.05359761934897948,0.5416666666666666,False,0.5614671625196934,0.09545993590871764,0.47225795773086104,False
control,20260918,Bearing1_5,constant_after_calibration,27,-0.9428090415820634,-0.00044263899326324463,1.7024576663970947e-05,5.822436059731717e-05,0.5384615384615384,False,0.00044263899326324463,0.13153915828353194,0.0001517461544679058,False
control,20260918,Bearing1_5,shuffled_after_calibration,27,-0.2698412698412698,-0.358437603712082,0.0719775603654293,0.09286656371381198,0.46153846153846156,False,0.7761173892766238,0.11965530601030314,0.266069711504962,False
ranking,20260918,Bearing1_1,constant_after_calibration,98,0.5480617620941826,0.002495656162500387,2.5728414046395743e-05,0.00020218017698961474,0.0,False,0.002495656162500387,0.08101283342936605,0.0007163834503794196,False
ranking,20260918,Bearing1_1,shuffled_after_calibration,98,0.764869396680884,1.0555164635181427,0.08963383626692074,0.11420874403921227,0.4329896907216495,False,1.6551533937454226,0.06900190911053324,0.4751153291608006,False
ranking,20260918,Bearing1_2,constant_after_calibration,136,0.27842720987058556,0.00013143531978129785,9.737218971605655e-07,8.787760729119876e-06,0.014814814814814815,False,0.0001314438879489871,0.06685560558380907,3.0500859706859812e-05,False
ranking,20260918,Bearing1_2,shuffled_after_calibration,136,0.5113162539955154,0.6615475401282309,0.09733850851103111,0.12010875223398278,0.43703703703703706,False,1.8859953820705413,0.06368454205975908,0.4376352636392199,False
ranking,20260918,Bearing1_3,constant_after_calibration,133,0.27023234164618976,0.000121288001537323,9.188767183910717e-07,8.572927440316057e-06,0.007575757575757576,False,0.000121288001537323,0.07068240330168173,2.843501544944966e-05,False
ranking,20260918,Bearing1_3,shuffled_after_calibration,133,0.01979677824139725,1.1027054961770775,0.10703525553090554,0.1322848903166814,0.4696969696969697,False,1.5322913292795417,0.08633142261457524,0.3592336180732094,False
ranking,20260918,Bearing1_4,constant_after_calibration,97,-0.24559557140508215,-0.0007006078958511353,7.300994669392873e-06,5.66862521220723e-05,0.53125,False,0.0007006138563156045,0.08090940767311477,0.000592419949985682,False
ranking,20260918,Bearing1_4,shuffled_after_calibration,97,-0.30166473806017247,-0.02570419758558279,0.03800585333568354,0.052449001464430135,0.5520833333333334,False,0.5536600165069103,0.09473142343804325,0.4681597949161062,False
ranking,20260918,Bearing1_5,constant_after_calibration,27,-0.8074742423227208,-0.00035819932818412226,1.3776897237850857e-05,5.4337777511632814e-05,0.3076923076923077,False,0.00035819932818412226,0.1516970391516257,0.00012269212718298272,False
ranking,20260918,Bearing1_5,shuffled_after_calibration,27,-0.2881562881562881,-0.37508285939693453,0.07009294588978474,0.09005230491982419,0.46153846153846156,False,0.77379272505641,0.11637781282223779,0.2650431420884393,False
