arm,seed,bearing_id,score_samples,spearman_rho,first_last_delta,mean_absolute_step,step_std,backward_step_fraction,collapsed,dynamic_range,range_normalized_step_std,next_step_mse
ranking,20260917,Bearing1_4,97,0.7525904691773616,0.8212803527712822,0.01808327239317199,0.031027612120062855,0.4375,False,1.157347209751606,0.026809251241658165,0.05557122454047203
ranking,20260917,Bearing1_5,27,0.9255189255189256,3.0796504825353623,0.12010527273210195,0.1069959703944393,0.19230769230769232,False,3.095095969364047,0.03456951624554113,0.03308989480137825
control,20260918,Bearing1_1,98,0.9514564963754948,3.4748606979846954,0.03883757904632805,0.061387622937494314,0.14432989690721648,False,3.4748606979846954,0.017666211187428928,0.026015758514404297
control,20260918,Bearing1_2,136,0.9995324650541481,4.285177302360535,0.031947393306979426,0.05600656288717344,0.05925925925925926,False,4.2989501997828485,0.0130279627081985,0.021512681618332863
control,20260918,Bearing1_3,133,0.9610032544046684,4.217978873103857,0.03325349059181682,0.03007587846451394,0.17424242424242425,False,4.279858179762959,0.007027307261424186,0.012160120531916618
control,20260918,Bearing1_4,97,0.8539475068377865,0.9571753308176993,0.01811591352646549,0.030215071135611924,0.40625,False,1.188899315148592,0.02541432293771282,0.05477337911725044
control,20260918,Bearing1_5,27,0.9853479853479853,2.916970086097717,0.11245063348458363,0.09690157765025745,0.11538461538461539,False,2.916970086097717,0.03321994219690167,0.03172669559717178
ranking,20260918,Bearing1_1,98,0.9514564963754948,3.4836876273155215,0.038909157772654114,0.06088934758553089,0.14432989690721648,False,3.4836876273155215,0.017478417728414797,0.025989018380641937
ranking,20260918,Bearing1_2,136,0.9997042125852774,4.2930489398539065,0.032044292263410705,0.05563295799356006,0.037037037037037035,False,4.309514197707176,0.01290933396231967,0.021536245942115784
ranking,20260918,Bearing1_3,133,0.9611664847328634,4.204258780553937,0.03316351540781783,0.02984376125325155,0.17424242424242425,False,4.2654452484101055,0.006996634469607941,0.012340785935521126
ranking,20260918,Bearing1_4,97,0.8504497159688617,0.9472340926527977,0.018079044048984843,0.03014101189641166,0.4166666666666667,False,1.1826304234564304,0.025486416803247487,0.05462723970413208
ranking,20260918,Bearing1_5,27,0.9768009768009768,2.9194972522556784,0.11271935595342744,0.09708179075859083,0.11538461538461539,False,2.9194972522556784,0.033252913899330765,0.03165063261985779
